Species,reformated
Campylobacter_ureolyticus,Campylobacter ureolyticus
Candida_tropicalis,Candida tropicalis
Candidatus_Gastranaerophilales_bacterium,Candidatus Gastranaerophilales bacterium
Candidatus_Gastranaerophilales_bacterium_HUM_10,Candidatus Gastranaerophilales bacterium HUM 10
Candidatus_Gastranaerophilales_bacterium_HUM_11,Candidatus Gastranaerophilales bacterium HUM 11
Candidatus_Gastranaerophilales_bacterium_HUM_18,Candidatus Gastranaerophilales bacterium HUM 18
Candidatus_Gastranaerophilales_bacterium_HUM_21,Candidatus Gastranaerophilales bacterium HUM 21
Candidatus_Gastranaerophilales_bacterium_HUM_4,Candidatus Gastranaerophilales bacterium HUM 4
Candidatus_Melainabacteria_bacterium_35_41,Candidatus Melainabacteria bacterium 35 41
Candidatus_Methanomassiliicoccus_intestinalis,Candidatus Methanomassiliicoccus intestinalis
Candidatus_Stoquefichus_sp_KLE1796,Candidatus Stoquefichus sp. KLE1796
Capnocytophaga_gingivalis,Capnocytophaga gingivalis
Capnocytophaga_granulosa,Capnocytophaga granulosa
Capnocytophaga_leadbetteri,Capnocytophaga leadbetteri
Capnocytophaga_ochracea,Capnocytophaga ochracea
Capnocytophaga_sputigena,Capnocytophaga sputigena
Cardiobacterium_hominis,Cardiobacterium hominis
Catabacter_hongkongensis,Catabacter hongkongensis
Catenibacterium_mitsuokai,Catenibacterium mitsuokai
Christensenella_minuta,Christensenella minuta
Citrobacter_europaeus,Citrobacter europaeus
Citrobacter_freundii,Citrobacter freundii
Citrobacter_koseri,Citrobacter koseri
Cloacibacillus_evryensis,Cloacibacillus evryensis
Cloacibacillus_porcorum,Cloacibacillus porcorum
Cloacibacterium_normanense,Cloacibacterium normanense
Clostridiales_bacterium_1_7_47FAA,Clostridiales bacterium 1 7 47FAA
Clostridiales_bacterium_CHKCI006,Clostridiales bacterium CHKCI006
Clostridiales_bacterium_KLE1615,Clostridiales bacterium KLE1615
Clostridiales_bacterium_S5_A14a,Clostridiales bacterium S5 A14a
Clostridiales_Family_XIII_bacterium,Clostridiales Family XIII bacterium
Clostridium_aldenense,Clostridium aldenense
Clostridium_asparagiforme,Clostridium asparagiforme
Clostridium_bolteae,Clostridium bolteae
Clostridium_citroniae,Clostridium citroniae
Clostridium_clostridioforme,Clostridium clostridioforme
Clostridium_disporicum,Clostridium disporicum
Clostridium_hiranonis,Clostridium hiranonis
Clostridium_hylemonae,[Clostridium] hylemonae
Clostridium_innocuum,[Clostridium] innocuum
Clostridium_lavalense,Clostridium lavalense
Clostridium_leptum,[Clostridium] leptum
Clostridium_methylpentosum,[Clostridium] methylpentosum
Clostridium_paraputrificum,Clostridium paraputrificum
Clostridium_perfringens,Clostridium perfringens
Clostridium_saccharolyticum,Clostridium saccharolyticum
Clostridium_scindens,[Clostridium] scindens
Clostridium_sp_44_14,Clostridium sp. 44 14
Clostridium_sp_AF36_4,Clostridium sp. AF36 4
Clostridium_sp_AM22_11AC,Clostridium sp. AM22 11AC
Clostridium_sp_AM58_1XD,Clostridium sp. AM58 1XD
Clostridium_sp_CAG_1193,Clostridium sp. CAG:1193
Clostridium_sp_CAG_122,Clostridium sp. CAG:122
Clostridium_sp_CAG_12237_41,Clostridium sp. CAG:12237 41
Clostridium_sp_CAG_138,Clostridium sp. CAG:138
Clostridium_sp_CAG_167,Clostridium sp. CAG:167
Clostridium_sp_CAG_169,Clostridium sp. CAG:169
Clostridium_sp_CAG_217,Clostridium sp. CAG:217
Clostridium_sp_CAG_221,Clostridium sp. CAG:221
Clostridium_sp_CAG_226,Clostridium sp. CAG:226
Clostridium_sp_CAG_230,Clostridium sp. CAG:230
Clostridium_sp_CAG_242,Clostridium sp. CAG:242
Clostridium_sp_CAG_245,Clostridium sp. CAG:245
Clostridium_sp_CAG_253,Clostridium sp. CAG:253
Clostridium_sp_CAG_265,Clostridium sp. CAG:265
Clostridium_sp_CAG_269,Clostridium sp. CAG:269
Clostridium_sp_CAG_273,Clostridium sp. CAG:273
Clostridium_sp_CAG_277,Clostridium sp. CAG:277
Clostridium_sp_CAG_288,Clostridium sp. CAG:288
Clostridium_sp_CAG_299,Clostridium sp. CAG:299
Clostridium_sp_CAG_302,Clostridium sp. CAG:302
Clostridium_sp_CAG_306,Clostridium sp. CAG:306
Clostridium_sp_CAG_307,Clostridium sp. CAG:307
Clostridium_sp_CAG_349,Clostridium sp. CAG:349
Clostridium_sp_CAG_354,Clostridium sp. CAG:354
Clostridium_sp_CAG_356,Clostridium sp. CAG:356
Clostridium_sp_CAG_389,Clostridium sp. CAG:389
Clostridium_sp_CAG_411,Clostridium sp. CAG:411
Clostridium_sp_CAG_413,Clostridium sp. CAG:413
Clostridium_sp_CAG_417,Clostridium sp. CAG:417
Clostridium_sp_CAG_433,Clostridium sp. CAG:433
Clostridium_sp_CAG_440,Clostridium sp. CAG:440
Clostridium_sp_CAG_451,Clostridium sp. CAG:451
Clostridium_sp_CAG_452,Clostridium sp. CAG:452
Clostridium_sp_CAG_465,Clostridium sp. CAG:465
Clostridium_sp_CAG_470,Clostridium sp. CAG:470
Clostridium_sp_CAG_492,Clostridium sp. CAG:492
Clostridium_sp_CAG_505,Clostridium sp. CAG:505
Clostridium_sp_CAG_508,Clostridium sp. CAG:508
Clostridium_sp_CAG_510,Clostridium sp. CAG:510
Clostridium_sp_CAG_524,Clostridium sp. CAG:524
Clostridium_sp_CAG_533,Clostridium sp. CAG:533
Clostridium_sp_CAG_567,Clostridium sp. CAG:567
Clostridium_sp_CAG_568,Clostridium sp. CAG:568
Clostridium_sp_CAG_571,Clostridium sp. CAG:571
Clostridium_sp_CAG_575,Clostridium sp. CAG:575
Clostridium_sp_CAG_58,Clostridium sp. CAG:58
Clostridium_sp_CAG_609,Clostridium sp. CAG:609
Clostridium_sp_CAG_628,Clostridium sp. CAG:628
Clostridium_sp_CAG_678,Clostridium sp. CAG:678
Clostridium_sp_CAG_75,Clostridium sp. CAG:75
Clostridium_sp_CAG_780,Clostridium sp. CAG:780
Clostridium_sp_CAG_793,Clostridium sp. CAG:793
Clostridium_sp_CAG_798,Clostridium sp. CAG:798
Clostridium_sp_CAG_914,Clostridium sp. CAG:914
Clostridium_sp_CAG_921,Clostridium sp. CAG:921
Clostridium_sp_CAG_964,Clostridium sp. CAG:964
Clostridium_sp_chh4_2,Clostridium sp. chh4 2
Clostridium_sp_D5,Clostridium sp. D5
Clostridium_spiroforme,[Clostridium] spiroforme
Clostridium_symbiosum,[Clostridium] symbiosum
Collinsella_aerofaciens,Collinsella aerofaciens
Collinsella_intestinalis,Collinsella intestinalis
Collinsella_sp_CAG_289,Collinsella sp. CAG:289
Collinsella_stercoris,Collinsella stercoris
Collinsella_tanakaei,Collinsella tanakaei
Coprobacillus_cateniformis,Coprobacillus cateniformis
Coprobacillus_sp_CAG_826,Coprobacillus sp. CAG:826
Coprobacter_fastidiosus,Coprobacter fastidiosus
Coprobacter_secundus,Coprobacter secundus
Coprobacter_sp,Coprobacter sp
Coprococcus_catus,Coprococcus catus
Coprococcus_comes,Coprococcus comes
Coprococcus_eutactus,Coprococcus eutactus
Coraliomargarita_sp_CAG_312,Coraliomargarita sp. CAG:312
Corynebacterium_accolens,Corynebacterium accolens
Corynebacterium_durum,Corynebacterium durum
Corynebacterium_glutamicum,Corynebacterium glutamicum
Corynebacterium_matruchotii,Corynebacterium matruchotii
Corynebacterium_pseudogenitalium,Corynebacterium pseudogenitalium
Corynebacterium_tuberculostearicum,Corynebacterium tuberculostearicum
Cryptobacterium_sp_CAG_338,Cryptobacterium sp. CAG:338
Cutibacterium_acnes,Cutibacterium acnes
Desulfovibrio_fairfieldensis,Desulfovibrio fairfieldensis
Desulfovibrio_piger,Desulfovibrio piger
Desulfovibrio_sp_AM18_2,Desulfovibrio sp. AM18 2
Desulfovibrionaceae_bacterium,Desulfovibrionaceae bacterium
Dialister_invisus,Dialister invisus
Dialister_micraerophilus,Dialister micraerophilus
Dialister_pneumosintes,Dialister pneumosintes
Dialister_sp_CAG_357,Dialister sp. CAG:357
Dialister_succinatiphilus,Dialister succinatiphilus
Dielma_fastidiosa,Dielma fastidiosa
Dorea_formicigenerans,Dorea formicigenerans
Dorea_longicatena,Dorea longicatena
Dorea_sp_CAG_317,Dorea sp. CAG:317
Dorea_sp_OM02_2LB,Dorea sp. OM02 2LB
Eggerthella_lenta,Eggerthella lenta
Eggerthella_sp_CAG_209,Eggerthella sp. CAG:209
Eggerthella_sp_CAG_298,Eggerthella sp. CAG:298
Eggerthella_sp_CAG_368,Eggerthella sp. CAG:368
Eikenella_corrodens,Eikenella corrodens
Eisenbergiella_massiliensis,Eisenbergiella massiliensis
Eisenbergiella_tayi,Eisenbergiella tayi
Enorma_massiliensis,Enorma massiliensis
Enterobacter_cloacae_complex,Enterobacter cloacae complex
Enterococcus_faecalis,Enterococcus faecalis
Enterococcus_faecium,Enterococcus faecium
Enterococcus_gallinarum,Enterococcus gallinarum
Enteroscipio_rubneri,Enteroscipio rubneri
Erysipelatoclostridium_ramosum,Erysipelatoclostridium ramosum
Erysipelotrichaceae_bacterium_3_1_53,Erysipelotrichaceae bacterium 3 1 53
Escherichia_coli,Escherichia coli
Eubacteriaceae_bacterium_CHKCI005,Eubacteriaceae bacterium CHKCI005
Eubacterium_coprostanoligenes,Eubacterium coprostanoligenes
Eubacterium_eligens,Eubacterium eligens
Eubacterium_hallii,Eubacterium hallii
Eubacterium_infirmum,[Eubacterium] infirmum
Eubacterium_limosum,Eubacterium limosum
Eubacterium_ramulus,Eubacterium ramulus
Eubacterium_rectale,[Eubacterium] rectale
Eubacterium_siraeum,[Eubacterium] siraeum
Eubacterium_sp_36_13,Eubacterium sp. 36 13
Eubacterium_sp_AF17_7,Eubacterium sp. AF17 7
Eubacterium_sp_AM18_10LB_B,Eubacterium sp. AM18 10LB B
Eubacterium_sp_CAG_115,Eubacterium sp. CAG:115
Eubacterium_sp_CAG_161,Eubacterium sp. CAG:161
Eubacterium_sp_CAG_180,Eubacterium sp. CAG:180
Eubacterium_sp_CAG_192,Eubacterium sp. CAG:192
Eubacterium_sp_CAG_251,Eubacterium sp. CAG:251
Eubacterium_sp_CAG_252,Eubacterium sp. CAG:252
Eubacterium_sp_CAG_274,Eubacterium sp. CAG:274
Eubacterium_sp_CAG_38,Eubacterium sp. CAG:38
Eubacterium_sp_CAG_581,Eubacterium sp. CAG:581
Eubacterium_sp_OM08_24,Eubacterium sp. OM08 24
Eubacterium_sulci,[Eubacterium] sulci
Eubacterium_ventriosum,Eubacterium ventriosum
Faecalibacterium_prausnitzii,Faecalibacterium prausnitzii
Faecalibacterium_sp_CAG_74,Faecalibacterium sp. CAG:74
Faecalibacterium_sp_CAG_74_58_120,Faecalibacterium sp. CAG:74 58 120
Faecalicoccus_pleomorphus,Faecalicoccus pleomorphus
Faecalitalea_cylindroides,Faecalitalea cylindroides
Finegoldia_magna,Finegoldia magna
Firmicutes_bacterium_AF16_15,Firmicutes bacterium AF16 15
Firmicutes_bacterium_AM10_47,Firmicutes bacterium AM10 47
Firmicutes_bacterium_CAG_102,Firmicutes bacterium CAG:102
Firmicutes_bacterium_CAG_103,Firmicutes bacterium CAG:103
Firmicutes_bacterium_CAG_110,Firmicutes bacterium CAG:110
Firmicutes_bacterium_CAG_114,Firmicutes bacterium CAG:114
Firmicutes_bacterium_CAG_124,Firmicutes bacterium CAG:124
Firmicutes_bacterium_CAG_129,Firmicutes bacterium CAG:129
Firmicutes_bacterium_CAG_137,Firmicutes bacterium CAG:137
Firmicutes_bacterium_CAG_145,Firmicutes bacterium CAG:145
Firmicutes_bacterium_CAG_170,Firmicutes bacterium CAG:170
Firmicutes_bacterium_CAG_176,Firmicutes bacterium CAG:176
Firmicutes_bacterium_CAG_194,Firmicutes bacterium CAG:194
Firmicutes_bacterium_CAG_238,Firmicutes bacterium CAG:238
Firmicutes_bacterium_CAG_240,Firmicutes bacterium CAG:240
Firmicutes_bacterium_CAG_24053_14,Firmicutes bacterium CAG:24053 14
Firmicutes_bacterium_CAG_272,Firmicutes bacterium CAG:272
Firmicutes_bacterium_CAG_313,Firmicutes bacterium CAG:313
Firmicutes_bacterium_CAG_321,Firmicutes bacterium CAG:321
Firmicutes_bacterium_CAG_345,Firmicutes bacterium CAG:345
Firmicutes_bacterium_CAG_41,Firmicutes bacterium CAG:41
Firmicutes_bacterium_CAG_424,Firmicutes bacterium CAG:424
Firmicutes_bacterium_CAG_449,Firmicutes bacterium CAG:449
Firmicutes_bacterium_CAG_460,Firmicutes bacterium CAG:460
Firmicutes_bacterium_CAG_466,Firmicutes bacterium CAG:466
Firmicutes_bacterium_CAG_475,Firmicutes bacterium CAG:475
Firmicutes_bacterium_CAG_552,Firmicutes bacterium CAG:552
Firmicutes_bacterium_CAG_56,Firmicutes bacterium CAG:56
Firmicutes_bacterium_CAG_582,Firmicutes bacterium CAG:582
Firmicutes_bacterium_CAG_631,Firmicutes bacterium CAG:631
Firmicutes_bacterium_CAG_646,Firmicutes bacterium CAG:646
Firmicutes_bacterium_CAG_65_45_313,Firmicutes bacterium CAG:65 45 313
Firmicutes_bacterium_CAG_83,Firmicutes bacterium CAG:83
Firmicutes_bacterium_CAG_882,Firmicutes bacterium CAG:882
Firmicutes_bacterium_CAG_94,Firmicutes bacterium CAG:94
Firmicutes_bacterium_CAG_95,Firmicutes bacterium CAG:95
Flavonifractor_plautii,Flavonifractor plautii
Flavonifractor_sp_An10,Flavonifractor sp. An10
Flavonifractor_sp_An100,Flavonifractor sp. An100
Fusicatenibacter_saccharivorans,Fusicatenibacter saccharivorans
Fusobacterium_nucleatum,Fusobacterium nucleatum
Fusobacterium_periodonticum,Fusobacterium periodonticum
Fusobacterium_sp_oral_taxon_370,Fusobacterium sp. oral taxon 370
Fusobacterium_ulcerans,Fusobacterium ulcerans
Gardnerella_vaginalis,Gardnerella vaginalis
Gemella_haemolysans,Gemella haemolysans
Gemella_sanguinis,Gemella sanguinis
Gemmiger_formicilis,Gemmiger formicilis
Gemmiger_sp_An87,Gemmiger sp. An87
Gordonibacter_pamelaeae,Gordonibacter pamelaeae
Gordonibacter_urolithinfaciens,Gordonibacter urolithinfaciens
Granulicatella_elegans,Granulicatella elegans
Haemophilus_parainfluenzae,Haemophilus parainfluenzae
Haemophilus_pittmaniae,Haemophilus pittmaniae
Haemophilus_sp_HMSC71H05,Haemophilus sp. HMSC71H05
Haemophilus_sputorum,Haemophilus sputorum
Harryflintia_acetispora,Harryflintia acetispora
Holdemanella_biformis,Holdemanella biformis
Holdemania_filiformis,Holdemania filiformis
Hungatella_hathewayi,Hungatella hathewayi
Hydrogenophilus_thermoluteolus,Hydrogenophilus thermoluteolus
Intestinibacter_bartlettii,Intestinibacter bartlettii
Intestinimonas_butyriciproducens,Intestinimonas butyriciproducens
Kingella_denitrificans,Kingella denitrificans
Kingella_oralis,Kingella oralis
Klebsiella_aerogenes,Klebsiella aerogenes
Klebsiella_michiganensis,Klebsiella michiganensis
Klebsiella_pneumoniae,Klebsiella pneumoniae
Klebsiella_quasipneumoniae,Klebsiella quasipneumoniae
Klebsiella_variicola,Klebsiella variicola
Lachnoanaerobaculum_saburreum,Lachnoanaerobaculum saburreum
Lachnoclostridium_sp_An118,Lachnoclostridium sp. An118
Lachnoclostridium_sp_An131,Lachnoclostridium sp. An131
Lachnoclostridium_sp_An138,Lachnoclostridium sp. An138
Lachnospira_pectinoschiza,Lachnospira pectinoschiza
Lachnospiraceae_bacterium_2_1_46FAA,Lachnospiraceae bacterium 2 1 46FAA
Lachnospiraceae_bacterium_OF09_33XD,Lachnospiraceae bacterium OF09 33XD
Lachnospiraceae_bacterium_OF09_6,Lachnospiraceae bacterium OF09 6
Lachnospiraceae_bacterium_oral_taxon_096,Lachnospiraceae bacterium oral taxon 096
Lactobacillus_crispatus,Lactobacillus crispatus
Lactobacillus_fermentum,Lactobacillus fermentum
Lactobacillus_iners,Lactobacillus iners
Lactobacillus_jensenii,Lactobacillus jensenii
Lactobacillus_rogosae,Lactobacillus rogosae
Lactobacillus_ruminis,Lactobacillus ruminis
Lactobacillus_salivarius,Lactobacillus salivarius
Lactococcus_lactis,Lactococcus lactis
Lactonifactor_longoviformis,Lactonifactor longoviformis
Lautropia_mirabilis,Lautropia mirabilis
Lawsonibacter_asaccharolyticus,Lawsonibacter asaccharolyticus
Lentisphaerae_bacterium,Lentisphaerae bacterium
Leptotrichia_buccalis,Leptotrichia buccalis
Leptotrichia_hofstadii,Leptotrichia hofstadii
Leptotrichia_sp_oral_taxon_212,Leptotrichia sp. oral taxon 212
Leptotrichia_sp_oral_taxon_215,Leptotrichia sp. oral taxon 215
Leptotrichia_wadei,Leptotrichia wadei
Mageeibacillus_indolicus,Mageeibacillus indolicus
Marvinbryantia_formatexigens,Marvinbryantia formatexigens
Massiliomicrobiota_timonensis,Massiliomicrobiota timonensis
Mediterraneibacter_sp_KCTC_15684,Mediterraneibacter sp. KCTC 15684
Megamonas_funiformis,Megamonas funiformis
Megasphaera_elsdenii,Megasphaera elsdenii
Megasphaera_micronuciformis,Megasphaera micronuciformis
Megasphaera_sp_DISK_18,Megasphaera sp. DISK 18
Megasphaera_sp_MJR8396C,Megasphaera sp. MJR8396C
Mesosutterella_multiformis,Mesosutterella multiformis
Methanobrevibacter_smithii,Methanobrevibacter smithii
Methanosphaera_cuniculi,Methanosphaera cuniculi
Methanosphaera_stadtmanae,Methanosphaera stadtmanae
Mogibacterium_diversum,Mogibacterium diversum
Monoglobus_pectinilyticus,Monoglobus pectinilyticus
Murimonas_intestini,Murimonas intestini
Mycoplasma_sp_CAG_472,Mycoplasma sp. CAG:472
Mycoplasma_sp_CAG_877,Mycoplasma sp. CAG:877
Neisseria_elongata,Neisseria elongata
Neisseria_flavescens,Neisseria flavescens
Neisseria_macacae,Neisseria macacae
Neisseria_perflava,Neisseria perflava
Neisseria_sicca,Neisseria sicca
Neisseria_subflava,Neisseria subflava
Odoribacter_laneus,Odoribacter laneus
Odoribacter_splanchnicus,Odoribacter splanchnicus
Oribacterium_asaccharolyticum,Oribacterium asaccharolyticum
Oribacterium_parvum,Oribacterium parvum
Oribacterium_sinus,Oribacterium sinus
Oscillibacter_sp_57_20,Oscillibacter sp. 57 20
Oscillibacter_sp_CAG_155,Oscillibacter sp. CAG:155
Oscillibacter_sp_CAG_241,Oscillibacter sp. CAG:241
Oscillibacter_sp_PC13,Oscillibacter sp. PC13
Oxalobacter_formigenes,Oxalobacter formigenes
Parabacteroides_distasonis,Parabacteroides distasonis
Parabacteroides_goldsteinii,Parabacteroides goldsteinii
Parabacteroides_gordonii,Parabacteroides gordonii
Parabacteroides_johnsonii,Parabacteroides johnsonii
Parabacteroides_merdae,Parabacteroides merdae
Parabacteroides_sp_CAG_409,Parabacteroides sp. CAG:409
Paraprevotella_clara,Paraprevotella clara
Paraprevotella_xylaniphila,Paraprevotella xylaniphila
Parasutterella_excrementihominis,Parasutterella excrementihominis
Parvimonas_micra,Parvimonas micra
Pedobacter_himalayensis,Pedobacter himalayensis
Peptococcus_niger,Peptococcus niger
Peptoniphilus_harei,Peptoniphilus harei
Peptoniphilus_lacrimalis,Peptoniphilus lacrimalis
Peptoniphilus_sp_HMSC062D09,Peptoniphilus sp. HMSC062D09
Peptostreptococcaceae_bacterium_oral_taxon_929,Peptostreptococcaceae bacterium oral taxon 929
Peptostreptococcus_anaerobius,Peptostreptococcus anaerobius
Peptostreptococcus_stomatis,Peptostreptococcus stomatis
Phascolarctobacterium_faecium,Phascolarctobacterium faecium
Phascolarctobacterium_sp_CAG_266,Phascolarctobacterium sp. CAG:266
Phascolarctobacterium_succinatutens,Phascolarctobacterium succinatutens
Porphyromonas_asaccharolytica,Porphyromonas asaccharolytica
Porphyromonas_somerae,Porphyromonas somerae
Porphyromonas_sp_31_2,Porphyromonas sp. 31 2
Porphyromonas_sp_HMSC065F10,Porphyromonas sp. HMSC065F10
Porphyromonas_sp_HMSC077F02,Porphyromonas sp. HMSC077F02
Porphyromonas_sp_oral_taxon_278,Porphyromonas sp. oral taxon 278
Porphyromonas_uenonis,Porphyromonas uenonis
Prevotella_bivia,Prevotella bivia
Prevotella_buccalis,Prevotella buccalis
Prevotella_colorans,Prevotella colorans
Prevotella_copri,Prevotella copri
Prevotella_corporis,Prevotella corporis
Prevotella_disiens,Prevotella disiens
Prevotella_histicola,Prevotella histicola
Prevotella_jejuni,Prevotella jejuni
Prevotella_melaninogenica,Prevotella melaninogenica
Prevotella_nigrescens,Prevotella nigrescens
Prevotella_pallens,Prevotella pallens
Prevotella_salivae,Prevotella salivae
Prevotella_scopos,Prevotella scopos
Prevotella_shahii,Prevotella shahii
Prevotella_sp_109,Prevotella sp. 109
Prevotella_sp_AM42_24,Prevotella sp. AM42 24
Prevotella_sp_CAG_1031,Prevotella sp. CAG:1031
Prevotella_sp_CAG_1185,Prevotella sp. CAG:1185
Prevotella_sp_CAG_279,Prevotella sp. CAG:279
Prevotella_sp_CAG_386,Prevotella sp. CAG:386
Prevotella_sp_CAG_485,Prevotella sp. CAG:485
Prevotella_sp_CAG_487,Prevotella sp. CAG:487
Prevotella_sp_CAG_520,Prevotella sp. CAG:520
Prevotella_sp_CAG_5226,Prevotella sp. CAG:5226
Prevotella_sp_CAG_604,Prevotella sp. CAG:604
Prevotella_sp_CAG_891,Prevotella sp. CAG:891
Prevotella_sp_F0091,Prevotella sp. F0091
